section_name,Shape,Thickness,D_bot,B_bottom,H,B_top,D_top,Bottom_lip_angle,Bottom_flange_angle,Web_angle,Top_flange_angle,Top lip_angle,r1,r2,r3,r4
Z8x2.5 054,Z,0.054,1.0,2.5,8.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2415,0.2415,0.2415,0.2415
Z8x2.5 060,Z,0.06,1.0,2.5,8.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2475,0.2475,0.2475,0.2475
Z8x2.5 067,Z,0.067,1.0,2.5,8.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2545,0.2545,0.2545,0.2545
Z8x2.5 075,Z,0.075,1.0,2.5,8.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2625,0.2625,0.2625,0.2625
Z8x2.5 089,Z,0.089,1.0,2.5,8.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2765,0.2765,0.2765,0.2765
Z8x2.5 099,Z,0.099,1.0,2.5,8.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2865,0.2865,0.2865,0.2865
Z8x2.5 105,Z,0.105,1.0,2.5,8.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2925,0.2925,0.2925,0.2925
Z10x2.5 060,Z,0.06,1.0,2.5,10.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2475,0.2475,0.2475,0.2475
Z10x2.5 067,Z,0.067,1.0,2.5,10.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2545,0.2545,0.2545,0.2545
Z10x2.5 075,Z,0.075,1.0,2.5,10.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2625,0.2625,0.2625,0.2625
Z10x2.5 089,Z,0.089,1.0,2.5,10.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2765,0.2765,0.2765,0.2765
Z10x2.5 099,Z,0.099,1.0,2.5,10.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2865,0.2865,0.2865,0.2865
Z10x2.5 105,Z,0.105,1.0,2.5,10.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.2925,0.2925,0.2925,0.2925
Z10x2.5 120,Z,0.12,1.0,2.5,10.0,2.5,1.0,-55.0,0.0,90.0,0.0,-55.0,0.3075,0.3075,0.3075,0.3075
Z12x2.5 075,Z,0.075,1.1,3.5,12.0,3.5,1.1,-55.0,0.0,90.0,0.0,-55.0,0.2625,0.2625,0.2625,0.2625
Z12x2.5 089,Z,0.089,1.1,3.5,12.0,3.5,1.1,-55.0,0.0,90.0,0.0,-55.0,0.2765,0.2765,0.2765,0.2765
Z12x2.5 099,Z,0.099,1.1,3.5,12.0,3.5,1.1,-55.0,0.0,90.0,0.0,-55.0,0.2865,0.2865,0.2865,0.2865
Z12x2.5 105,Z,0.105,1.1,3.5,12.0,3.5,1.1,-55.0,0.0,90.0,0.0,-55.0,0.2925,0.2925,0.2925,0.2925
Z12x2.5 120,Z,0.12,1.1,3.5,12.0,3.5,1.1,-55.0,0.0,90.0,0.0,-55.0,0.3075,0.3075,0.3075,0.3075
C8x2.5 060,C,0.06,1.0,2.8,8.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.18,0.18,0.18,0.18
C8x2.5 067,C,0.067,1.0,2.8,8.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.201,0.201,0.201,0.201
C8x2.5 075,C,0.075,1.0,2.8,8.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.225,0.225,0.225,0.225
C8x2.5 089,C,0.089,1.0,2.8,8.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.267,0.267,0.267,0.267
C8x2.5 099,C,0.099,1.0,2.8,8.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.297,0.297,0.297,0.297
C8x2.5 105,C,0.105,1.0,2.8,8.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.315,0.315,0.315,0.315
C10x2.5 060,C,0.06,1.0,2.8,10.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.18,0.18,0.18,0.18
C10x2.5 067,C,0.067,1.0,2.8,10.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.201,0.201,0.201,0.201
C10x2.5 075,C,0.075,1.0,2.8,10.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.225,0.225,0.225,0.225
C10x2.5 089,C,0.089,1.0,2.8,10.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.267,0.267,0.267,0.267
C10x2.5 099,C,0.099,1.0,2.8,10.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.297,0.297,0.297,0.297
C10x2.5 105,C,0.105,1.0,2.8,10.0,2.8,1.0,-90.0,0.0,90.0,0.0,-90.0,0.315,0.315,0.315,0.315
